disco_type	service
aws:appflow:connector-profile	appflow
aws:backup:plan	backup
aws:batch:consumable-resource	batch
aws:batch:scheduling-policy	batch
aws:batch:service-environment	batch
aws:bcmpricingcalculator:bill-scenario	bcmpricingcalculator
aws:billing:billing-view	billing
aws:billingconductor:billing-group	billingconductor
aws:billingconductor:pricing-plan	billingconductor
aws:billingconductor:pricing-rule	billingconductor
aws:braket:spending-limit	braket
aws:budgets:budgets-action	budgets
aws:cassandra:keyspace	cassandra
aws:cassandra:table	cassandra
aws:cassandra:type	cassandra
aws:ce:anomaly-monitor	ce
aws:ce:anomaly-subscription	ce
aws:ce:cost-category	ce
aws:chatbot:custom-action	chatbot
aws:chatbot:microsoft-teams-channel-configuration	chatbot
aws:chatbot:slack-channel-configuration	chatbot
aws:chime:app-instance	chime
aws:cleanrooms-ml:configured-model-algorithm	cleanrooms-ml
aws:cleanrooms-ml:configured-model-algorithm-association	cleanrooms-ml
aws:cleanrooms-ml:training-dataset	cleanrooms-ml
aws:cleanrooms:collaboration	cleanrooms
aws:cleanrooms:configured-table	cleanrooms
aws:cloud9:environment-ec2	cloud9
aws:cloudfront:continuous-deployment-policy	cloudfront
aws:cloudfront:function	cloudfront
aws:cloudfront:vpc-origin	cloudfront
aws:cloudtrail:channel	cloudtrail
aws:cloudtrail:dashboard	cloudtrail
aws:code-build:fleet	code-build
aws:code-build:project	code-build
aws:code-build:report-group	code-build
aws:code-build:source-credential	code-build
aws:code-guru-profiler:profiling-group	code-guru-profiler
aws:code-guru-reviewer:repository-association	code-guru-reviewer
aws:codecommit:repository	codecommit
aws:codedeploy:application	codedeploy
aws:codedeploy:deployment-config	codedeploy
aws:codepipeline:custom-action-type	codepipeline
aws:codepipeline:pipeline	codepipeline
aws:codestar-connections:connection	codestar-connections
aws:cognito:user-pool	cognito
aws:config:organization-conformance-pack	config
aws:config:stored-query	config
aws:connect-campaigns-v2:campaign	connect-campaigns-v2
aws:connect-campaigns:campaign	connect-campaigns
aws:connect:instance	connect
aws:controltower:enabled-control	controltower
aws:cur:report-definition	cur
aws:customer-profiles:domain	customer-profiles
aws:databrew:dataset	databrew
aws:databrew:ruleset	databrew
aws:datasync:agent	datasync
aws:datasync:task	datasync
aws:datazone:domain	datazone
aws:dax:parameter-group	dax
aws:dev-ops-agent:agent-space	dev-ops-agent
aws:dev-ops-agent:association	dev-ops-agent
aws:dev-ops-agent:service	dev-ops-agent
aws:devops-guru:log-anomaly-detection-integration	devops-guru
aws:devops-guru:notification-channel	devops-guru
aws:devops-guru:resource-collection	devops-guru
aws:directconnect:direct-connect-gateway	directconnect
aws:directconnect:lag	directconnect
aws:dlm:lifecycle-policy	dlm
aws:doc-db-elastic:cluster	doc-db-elastic
aws:docdb:db-cluster-parameter-group	docdb
aws:docdb:db-subnet-group	docdb
aws:docdb:event-subscription	docdb
aws:docdb:global-cluster	docdb
aws:docdb:instance	docdb
aws:dsql:cluster	dsql
aws:ec2:ipam	ec2
aws:ec2:ipam-prefix-list-resolver	ec2
aws:ec2:ipam-resource-discovery	ec2
aws:ec2:launch-template	ec2
aws:ec2:local-gateway-route-table	ec2
aws:ec2:local-gateway-virtual-interface-group	ec2
aws:ec2:transit-gateway	ec2
aws:ec2:vpc-endpoint-service	ec2
aws:ecs:cluster	ecs
aws:efs:access-point	efs
aws:elasticloadbalancingv2:trust-store	elasticloadbalancingv2
aws:elemental-inference:feed	elemental-inference
aws:emr-containers:security-configuration	emr-containers
aws:emr:cluster	emr
aws:emr:security-configuration	emr
aws:emr:studio	emr
aws:entityresolution:id-mapping-workflow	entityresolution
aws:entityresolution:id-namespace	entityresolution
aws:entityresolution:matching-workflow	entityresolution
aws:entityresolution:schema-mapping	entityresolution
aws:event-schemas:discoverer	event-schemas
aws:event-schemas:registry	event-schemas
aws:event-schemas:schema	event-schemas
aws:events:connection	events
aws:events:event-bus	events
aws:evs:environment	evs
aws:fin-space:environment	fin-space
aws:fms:notification-channel	fms
aws:fms:policy	fms
aws:fms:resource-set	fms
aws:forecast:dataset	forecast
aws:forecast:dataset-group	forecast
aws:fsx:file-system	fsx
aws:fsx:s3-access-point-attachment	fsx
aws:global-accelerator:accelerator	global-accelerator
aws:global-accelerator:cross-account-attachment	global-accelerator
aws:global-accelerator:endpoint-group	global-accelerator
aws:global-accelerator:listener	global-accelerator
aws:glue:catalog	glue
aws:glue:classifier	glue
aws:glue:custom-entity-type	glue
aws:glue:database	glue
aws:glue:integration	glue
aws:glue:integration-resource-property	glue
aws:glue:registry	glue
aws:glue:schema-version-metadata	glue
aws:glue:usage-profile	glue
aws:grafana:workspace	grafana
aws:guardduty:detector	guardduty
aws:guardduty:malware-protection-plan	guardduty
aws:health-imaging:datastore	health-imaging
aws:health-lake:fhir-datastore	health-lake
aws:iam:access-key	iam
aws:iam:foreign-account	iam
aws:iam:instance-profile	iam
aws:iam:oidc-provider	iam
aws:iam:saml-provider	iam
aws:iam:server-certificate	iam
aws:iam:virtual-mfa-device	iam
aws:identitystore:group	identitystore
aws:identitystore:group-membership	identitystore
aws:identitystore:user	identitystore
aws:imagebuilder:component	imagebuilder
aws:imagebuilder:container-recipe	imagebuilder
aws:imagebuilder:distribution-configuration	imagebuilder
aws:imagebuilder:image-recipe	imagebuilder
aws:imagebuilder:workflow	imagebuilder
aws:inspector:resource-group	inspector
aws:interconnect:connection	interconnect
aws:internet-monitor:monitor	internet-monitor
aws:invoicing:invoice-unit	invoicing
aws:iot-core-device-advisor:suite-definition	iot-core-device-advisor
aws:iot-events:alarm-model	iot-events
aws:iot-events:detector-model	iot-events
aws:iot-events:input	iot-events
aws:iot:custom-metric	iot
aws:iot:fleet-metric	iot
aws:iot:software-package	iot
aws:iot:software-package-version	iot
aws:iot:topic-rule-destination	iot
aws:iotfleetwise:signal-catalog	iotfleetwise
aws:iotsitewise:asset-model	iotsitewise
aws:iotsitewise:computation-model	iotsitewise
aws:iotsitewise:dashboard	iotsitewise
aws:iotsitewise:dataset	iotsitewise
aws:iottwinmaker:workspace	iottwinmaker
aws:ivs-chat:logging-configuration	ivs-chat
aws:ivs-chat:room	ivs-chat
aws:ivs:encoder-configuration	ivs
aws:ivs:playback-key-pair	ivs
aws:ivs:playback-restriction-policy	ivs
aws:ivs:public-key	ivs
aws:ivs:stage	ivs
aws:kafka-connect:custom-plugin	kafka-connect
aws:kafka-connect:worker-configuration	kafka-connect
aws:kafka:configuration	kafka
aws:kendra-ranking:execution-plan	kendra-ranking
aws:kendra:index	kendra
aws:kinesis-analytics-v2:application	kinesis-analytics-v2
aws:kinesis-analytics:application	kinesis-analytics
aws:kinesis-video:signaling-channel	kinesis-video
aws:kinesis-video:stream	kinesis-video
aws:kinesis:resource-policy	kinesis
aws:kinesis:stream-consumer	kinesis
aws:lakeformation:data-cells-filter	lakeformation
aws:lakeformation:data-lake-settings	lakeformation
aws:lakeformation:principal-permissions	lakeformation
aws:lakeformation:tag	lakeformation
aws:launch-wizard:deployment	launch-wizard
aws:lex:bot	lex
aws:license-manager:license	license-manager
aws:lightsail:bucket	lightsail
aws:lightsail:container-service	lightsail
aws:lightsail:database	lightsail
aws:lightsail:domain	lightsail
aws:location:api-key	location
aws:location:geofence-collection	location
aws:location:map	location
aws:location:place-index	location
aws:location:route-calculator	location
aws:location:tracker	location
aws:logs:delivery-source	logs
aws:logs:integration	logs
aws:logs:log-group	logs
aws:logs:resource-policy	logs
aws:logs:scheduled-query	logs
aws:lookout-equipment:inference-scheduler	lookout-equipment
aws:m2:application	m2
aws:m2:environment	m2
aws:managed-blockchain:accessor	managed-blockchain
aws:managed-blockchain:member	managed-blockchain
aws:managed-blockchain:node	managed-blockchain
aws:media-convert:job-template	media-convert
aws:media-convert:preset	media-convert
aws:media-convert:queue	media-convert
aws:media-store:container	media-store
aws:mediaconnect:bridge	mediaconnect
aws:mediaconnect:flow	mediaconnect
aws:mediaconnect:gateway	mediaconnect
aws:mediaconnect:router-input	mediaconnect
aws:mediaconnect:router-network-interface	mediaconnect
aws:mediaconnect:router-output	mediaconnect
aws:medialive:cloudwatch-alarm-template-group	medialive
aws:medialive:eventbridge-rule-template-group	medialive
aws:medialive:multiplex	medialive
aws:medialive:signal-map	medialive
aws:mediapackage:channel	mediapackage
aws:mediapackage:packaging-group	mediapackage
aws:mediapackagev2:channel-group	mediapackagev2
aws:mediatailor:channel	mediatailor
aws:mediatailor:playback-configuration	mediatailor
aws:mediatailor:source-location	mediatailor
aws:memorydb:acl	memorydb
aws:memorydb:cluster	memorydb
aws:memorydb:multi-region-cluster	memorydb
aws:memorydb:parameter-group	memorydb
aws:memorydb:subnet-group	memorydb
aws:memorydb:user	memorydb
aws:mpa:approval-team	mpa
aws:mpa:identity-source	mpa
aws:mq:configuration	mq
aws:mwaa-serverless:workflow	mwaa-serverless
aws:mwaa:environment	mwaa
aws:neptune-graph:graph	neptune-graph
aws:neptune:db-cluster-parameter-group	neptune
aws:neptune:db-parameter-group	neptune
aws:neptune:db-subnet-group	neptune
aws:neptune:event-subscription	neptune
aws:neptune:instance	neptune
aws:network-firewall:rule-group	network-firewall
aws:network-firewall:tls-inspection-configuration	network-firewall
aws:networkmanager:global-network	networkmanager
aws:notifications:managed-notification-additional-channel-association	notifications
aws:notifications:notification-configuration	notifications
aws:nova-act:workflow-definition	nova-act
aws:oam:link	oam
aws:oam:sink	oam
aws:observabilityadmin:organization-centralization-rule	observabilityadmin
aws:observabilityadmin:organization-telemetry-rule	observabilityadmin
